Time - Plot 0	Amplitude - Plot 0
0	1.25794
0.001	1.2502
0.002	1.23988
0.003	1.23214
0.004	1.22697
0.005	1.22052
0.006	1.2102
0.007	1.20504
0.008	1.20117
0.009	1.19988
0.01	1.20117
0.011	1.19472
0.012	1.1844
0.013	1.17666
0.014	1.17021
0.015	1.16247
0.016	1.15473
0.017	1.1457
0.018	1.13538
0.019	1.1328
0.02	1.1328
0.021	1.12635
0.022	1.11731
0.023	1.11215
0.024	1.10828
0.025	1.10441
0.026	1.09667
0.027	1.09022
0.028	1.08635
0.029	1.08506
0.03	1.08506
0.031	1.07861
0.032	1.07087
0.033	1.06571
0.034	1.06184
0.035	1.05797
0.036	1.0541
0.037	1.04765
0.038	1.0412
0.039	1.03604
0.04	1.03475
0.041	1.0283
0.042	1.02443
0.043	1.02314
0.044	1.02314
0.045	1.02314
0.046	1.01798
0.047	1.01153
0.048	1.00895
0.049	1.00766
0.05	1.00895
0.051	1.00378
0.052	0.997334
0.053	0.994754
0.054	0.992174
0.055	0.990884
0.056	0.989594
0.057	0.985723
0.058	0.983143
0.059	0.976692
0.06	0.975402
0.061	0.968952
0.062	0.965081
0.063	0.963791
0.064	0.962501
0.065	0.959921
0.066	0.95476
0.067	0.9496
0.068	0.9496
0.069	0.9496
0.07	0.95218
0.071	0.94831
0.072	0.943149
0.073	0.941859
0.074	0.939279
0.075	0.936699
0.076	0.935409
0.077	0.934119
0.078	0.927668
0.079	0.925088
0.08	0.925088
0.081	0.919927
0.082	0.917347
0.083	0.916057
0.084	0.916057
0.085	0.917347
0.086	0.913477
0.087	0.905736
0.088	0.903156
0.089	0.904446
0.09	0.904446
0.091	0.900576
0.092	0.897995
0.093	0.897995
0.094	0.899285
0.095	0.897995
0.096	0.897995
0.097	0.896705
0.098	0.891545
0.099	0.890255
0.1	0.891545
0.101	0.887674
0.102	0.885094
0.103	0.886384
0.104	0.886384
0.105	0.887674
0.106	0.885094
0.107	0.878644
0.108	0.874773
0.109	0.873483
0.11	0.873483
0.111	0.868323
0.112	0.869613
0.113	0.870903
0.114	0.876063
0.115	0.878644
0.116	0.882514
0.117	0.883804
0.118	0.882514
0.119	0.877354
0.12	0.876063
0.121	0.869613
0.122	0.869613
0.123	0.870903
0.124	0.872193
0.125	0.872193
0.126	0.869613
0.127	0.863162
0.128	0.859292
0.129	0.859292
0.13	0.856712
0.131	0.852841
0.132	0.855422
0.133	0.859292
0.134	0.865743
0.135	0.870903
0.136	0.876063
0.137	0.878644
0.138	0.877354
0.139	0.873483
0.14	0.870903
0.141	0.865743
0.142	0.864452
0.143	0.864452
0.144	0.863162
0.145	0.861872
0.146	0.856712
0.147	0.852841
0.148	0.851551
0.149	0.852841
0.15	0.854131
0.151	0.848971
0.152	0.850261
0.153	0.852841
0.154	0.855422
0.155	0.859292
0.156	0.860582
0.157	0.860582
0.158	0.858002
0.159	0.855422
0.16	0.855422
0.161	0.848971
0.162	0.847681
0.163	0.847681
0.164	0.850261
0.165	0.854131
0.166	0.851551
0.167	0.843811
0.168	0.83865
0.169	0.83607
0.17	0.83478
0.171	0.829619
0.172	0.830909
0.173	0.83349
0.174	0.83478
0.175	0.83736
0.176	0.83478
0.177	0.830909
0.178	0.825749
0.179	0.824459
0.18	0.824459
0.181	0.819298
0.182	0.821879
0.183	0.825749
0.184	0.830909
0.185	0.83607
0.186	0.83607
0.187	0.828329
0.188	0.825749
0.189	0.825749
0.19	0.827039
0.191	0.824459
0.192	0.820589
0.193	0.823169
0.194	0.827039
0.195	0.827039
0.196	0.821879
0.197	0.814138
0.198	0.808977
0.199	0.801237
0.2	0.796076
0.201	0.798657
0.202	0.812848
0.203	0.825749
0.204	0.83865
0.205	0.851551
0.206	0.858002
0.207	0.850261
0.208	0.84123
0.209	0.83478
0.21	0.829619
0.211	0.824459
0.212	0.828329
0.213	0.83349
0.214	0.83865
0.215	0.84252
0.216	0.846391
0.217	0.846391
0.218	0.84123
0.219	0.84123
0.22	0.843811
0.221	0.83865
0.222	0.83865
0.223	0.83736
0.224	0.829619
0.225	0.821879
0.226	0.815428
0.227	0.815428
0.228	0.818008
0.229	0.819298
0.23	0.819298
0.231	0.815428
0.232	0.820589
0.233	0.830909
0.234	0.84252
0.235	0.854131
0.236	0.863162
0.237	0.873483
0.238	0.878644
0.239	0.870903
0.24	0.861872
0.241	0.858002
0.242	0.863162
0.243	0.868323
0.244	0.876063
0.245	0.879934
0.246	0.879934
0.247	0.869613
0.248	0.863162
0.249	0.861872
0.25	0.859292
0.251	0.854131
0.252	0.855422
0.253	0.856712
0.254	0.858002
0.255	0.861872
0.256	0.864452
0.257	0.867033
0.258	0.867033
